Timestamp,Total Consumption (kW),Active Devices
2024-01-01 00:00:00,3.2,"Washing Machine, Microwave"
2024-01-01 00:10:00,0.5,Lighting
2024-01-01 00:20:00,2.5,"Computer, TV, Washing Machine"
2024-01-01 00:30:00,2.1,"Microwave, Computer, Lighting, Refrigerator"
2024-01-01 00:40:00,3.9,"Microwave, Lighting, TV, Washing Machine"
2024-01-01 00:50:00,0.5,Lighting
2024-01-01 01:00:00,5.8,"Microwave, Computer, Refrigerator, TV, Lighting, Oven, Washing Machine"
2024-01-01 01:10:00,1.6,"Microwave, Refrigerator, Computer"
2024-01-01 01:20:00,3.8,"TV, Microwave, Lighting, Oven, Computer, Refrigerator"
2024-01-01 01:30:00,5.8,"Computer, Microwave, Lighting, TV, Washing Machine, Oven, Refrigerator"
2024-01-01 01:40:00,1.1,"TV, Lighting, Computer, Refrigerator"
2024-01-01 01:50:00,5.8,"Washing Machine, Microwave, Lighting, Computer, Oven, Refrigerator, TV"
2024-01-01 02:00:00,4.1,"Washing Machine, Refrigerator, Computer, TV, Oven"
2024-01-01 02:10:00,5.5,"Washing Machine, Oven, Lighting, TV, Refrigerator, Microwave"
2024-01-01 02:20:00,4.4,"Refrigerator, Lighting, Oven, Computer, Washing Machine"
2024-01-01 02:30:00,5.7,"TV, Oven, Computer, Washing Machine, Lighting, Microwave"
2024-01-01 02:40:00,0.3,Computer
2024-01-01 02:50:00,5.5,"Lighting, Microwave, Washing Machine, Oven, Computer"
2024-01-01 03:00:00,2.1,"Refrigerator, Washing Machine"
2024-01-01 03:10:00,3.8,"Refrigerator, Lighting, Washing Machine, Microwave"
2024-01-01 03:20:00,0.1,Refrigerator
2024-01-01 03:30:00,4.6,"Refrigerator, Washing Machine, TV, Computer, Oven, Lighting"
2024-01-01 03:40:00,4.4,"Refrigerator, Oven, Lighting, Washing Machine, Computer"
2024-01-01 03:50:00,5.5,"Washing Machine, Lighting, TV, Oven, Refrigerator, Microwave"
2024-01-01 04:00:00,4.0,"Oven, Computer, Washing Machine, TV"
2024-01-01 04:10:00,4.0,"Washing Machine, Lighting, Microwave, Computer"
2024-01-01 04:20:00,0.1,Refrigerator
2024-01-01 04:30:00,5.8,"Oven, Washing Machine, Lighting, Microwave, Computer, Refrigerator, TV"
2024-01-01 04:40:00,2.0,Washing Machine
2024-01-01 04:50:00,4.8,"Refrigerator, Microwave, Oven, Washing Machine"
2024-01-01 05:00:00,5.8,"Oven, Refrigerator, TV, Microwave, Computer, Washing Machine, Lighting"
2024-01-01 05:10:00,5.4,"TV, Washing Machine, Microwave, Lighting, Oven"
2024-01-01 05:20:00,0.1,Refrigerator
2024-01-01 05:30:00,4.2,"Washing Machine, Microwave, Computer, Lighting, TV"
2024-01-01 05:40:00,2.0,"Oven, Lighting"
2024-01-01 05:50:00,3.9,"Washing Machine, Lighting, TV, Microwave"
2024-01-01 06:00:00,4.1,"Washing Machine, Lighting, Oven, Refrigerator"
2024-01-01 06:10:00,1.7,"Lighting, Microwave"
2024-01-01 06:20:00,0.5,"Computer, TV"
2024-01-01 06:30:00,3.2,"Washing Machine, Microwave"
2024-01-01 06:40:00,5.2,"Computer, Microwave, Washing Machine, TV, Oven"
2024-01-01 06:50:00,0.7,"TV, Lighting"
2024-01-01 07:00:00,3.5,"Computer, Oven, Lighting, Microwave"
2024-01-01 07:10:00,0.6,"Refrigerator, Computer, TV"
2024-01-01 07:20:00,1.7,"Oven, TV"
2024-01-01 07:30:00,1.5,Oven
2024-01-01 07:40:00,5.5,"TV, Oven, Washing Machine, Microwave, Lighting, Refrigerator"
2024-01-01 07:50:00,5.6,"Washing Machine, Computer, Oven, Microwave, Refrigerator, Lighting"
2024-01-01 08:00:00,4.9,"Washing Machine, TV, Microwave, Oven"
2024-01-01 08:10:00,5.0,"Oven, Washing Machine, Microwave, Computer"
2024-01-01 08:20:00,5.4,"TV, Microwave, Lighting, Oven, Washing Machine"
2024-01-01 08:30:00,0.3,Computer
2024-01-01 08:40:00,0.3,Computer
2024-01-01 08:50:00,1.9,"Computer, Oven, Refrigerator"
2024-01-01 09:00:00,5.5,"Refrigerator, Lighting, Washing Machine, TV, Microwave, Oven"
2024-01-01 09:10:00,4.3,"Washing Machine, Computer, Microwave, Refrigerator, Lighting, TV"
2024-01-01 09:20:00,2.5,"Washing Machine, Lighting"
2024-01-01 09:30:00,1.8,"Microwave, Refrigerator, Lighting"
2024-01-01 09:40:00,5.8,"TV, Lighting, Washing Machine, Computer, Oven, Microwave, Refrigerator"
2024-01-01 09:50:00,1.3,"Refrigerator, Microwave"
2024-01-01 10:00:00,5.5,"TV, Lighting, Oven, Microwave, Refrigerator, Washing Machine"
2024-01-01 10:10:00,5.6,"Lighting, Refrigerator, Microwave, Oven, Computer, Washing Machine"
2024-01-01 10:20:00,3.0,"Refrigerator, TV, Microwave, Oven"
2024-01-01 10:30:00,5.5,"Lighting, Oven, Refrigerator, Microwave, Washing Machine, TV"
2024-01-01 10:40:00,2.7,"Oven, Microwave"
2024-01-01 10:50:00,5.3,"Microwave, Computer, TV, Oven, Washing Machine, Refrigerator"
2024-01-01 11:00:00,3.9,"Oven, Computer, Refrigerator, Washing Machine"
2024-01-01 11:10:00,0.5,Lighting
2024-01-01 11:20:00,5.5,"Computer, Oven, Microwave, Lighting, Washing Machine"
2024-01-01 11:30:00,0.3,Computer
2024-01-01 11:40:00,5.8,"Lighting, Oven, Computer, TV, Refrigerator, Washing Machine, Microwave"
2024-01-01 11:50:00,3.3,"Microwave, Washing Machine, Refrigerator"
2024-01-01 12:00:00,3.8,"Microwave, Oven, TV, Lighting, Refrigerator, Computer"
2024-01-01 12:10:00,4.6,"Refrigerator, Oven, Computer, Washing Machine, Lighting, TV"
2024-01-01 12:20:00,5.8,"TV, Washing Machine, Computer, Microwave, Lighting, Oven, Refrigerator"
2024-01-01 12:30:00,3.8,"Computer, Lighting, Microwave, Oven, Refrigerator, TV"
2024-01-01 12:40:00,5.6,"Washing Machine, Computer, Microwave, Refrigerator, Lighting, Oven"
2024-01-01 12:50:00,2.4,"Refrigerator, Lighting, Computer, Oven"
2024-01-01 13:00:00,2.3,"Computer, Refrigerator, Lighting, TV, Microwave"
2024-01-01 13:10:00,3.6,"Oven, Refrigerator, Washing Machine"
2024-01-01 13:20:00,3.2,"Washing Machine, Microwave"
2024-01-01 13:30:00,4.2,"Washing Machine, TV, Lighting, Oven"
2024-01-01 13:40:00,2.0,"Lighting, Oven"
2024-01-01 13:50:00,5.8,"Computer, Refrigerator, Oven, Microwave, Lighting, TV, Washing Machine"
2024-01-01 14:00:00,1.7,"Oven, TV"
2024-01-01 14:10:00,0.1,Refrigerator
2024-01-01 14:20:00,3.6,"Refrigerator, Oven, Washing Machine"
2024-01-01 14:30:00,5.6,"Lighting, Microwave, Refrigerator, Computer, Washing Machine, Oven"
2024-01-01 14:40:00,5.7,"Oven, TV, Lighting, Washing Machine, Computer, Microwave"
2024-01-01 14:50:00,5.8,"TV, Refrigerator, Oven, Computer, Lighting, Washing Machine, Microwave"
2024-01-01 15:00:00,5.6,"Refrigerator, Washing Machine, Computer, Microwave, Oven, Lighting"
2024-01-01 15:10:00,4.6,"Computer, Refrigerator, TV, Lighting, Washing Machine, Oven"
2024-01-01 15:20:00,5.6,"Computer, Oven, Microwave, Lighting, Refrigerator, Washing Machine"
